file_a,split_a,class_a,file_b,split_b,class_b,dhash_distance,phash_distance
bigdata_bored_engaged_aksan_50_1773299656187_002_jpg.rf.41a8999ef946b19b9a7fc651def15057.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299656187_004_jpg.rf.b63937d094e51efd21110663c579e9ca.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,2,0
bigdata_bored_engaged_aksan_50_1773299656187_004_jpg.rf.b63937d094e51efd21110663c579e9ca.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299656187_004_jpg.rf.b63937d094e51efd21110663c579e9ca.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299656187_004_jpg.rf.b63937d094e51efd21110663c579e9ca.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299656187_004_jpg.rf.b63937d094e51efd21110663c579e9ca.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299657013_005_jpg.rf.c49d42fd97e03dfbda5a47730b275ea6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,2,0
bigdata_bored_engaged_aksan_50_1773299657013_005_jpg.rf.c49d42fd97e03dfbda5a47730b275ea6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299657013_005_jpg.rf.c49d42fd97e03dfbda5a47730b275ea6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299657013_005_jpg.rf.c49d42fd97e03dfbda5a47730b275ea6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299657013_005_jpg.rf.c49d42fd97e03dfbda5a47730b275ea6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299657014_006_jpg.rf.ecfe30fd9c8af54ff0c81e3635597630.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,1,0
bigdata_bored_engaged_aksan_50_1773299657014_006_jpg.rf.ecfe30fd9c8af54ff0c81e3635597630.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299657014_006_jpg.rf.ecfe30fd9c8af54ff0c81e3635597630.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299657014_006_jpg.rf.ecfe30fd9c8af54ff0c81e3635597630.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299657014_006_jpg.rf.ecfe30fd9c8af54ff0c81e3635597630.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299657014_007_jpg.rf.21630569bfb63155b70f6a88e4e0ca38.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,1,0
bigdata_bored_engaged_aksan_50_1773299657014_007_jpg.rf.21630569bfb63155b70f6a88e4e0ca38.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299657014_007_jpg.rf.21630569bfb63155b70f6a88e4e0ca38.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299657014_007_jpg.rf.21630569bfb63155b70f6a88e4e0ca38.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299657014_007_jpg.rf.21630569bfb63155b70f6a88e4e0ca38.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299657014_009_jpg.rf.8d1746255038f23d338e8848b210653f.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,2,4
bigdata_bored_engaged_aksan_50_1773299657014_009_jpg.rf.8d1746255038f23d338e8848b210653f.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,4
bigdata_bored_engaged_aksan_50_1773299657014_009_jpg.rf.8d1746255038f23d338e8848b210653f.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,4,4
bigdata_bored_engaged_aksan_50_1773299657014_009_jpg.rf.8d1746255038f23d338e8848b210653f.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,5,6
bigdata_bored_engaged_aksan_50_1773299657014_009_jpg.rf.8d1746255038f23d338e8848b210653f.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,4
bigdata_bored_engaged_aksan_50_1773299657617_010_jpg.rf.c118475abb38fac1be2a3d3f9e8fd8ed.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,4,4
bigdata_bored_engaged_aksan_50_1773299657617_010_jpg.rf.c118475abb38fac1be2a3d3f9e8fd8ed.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,4
bigdata_bored_engaged_aksan_50_1773299657617_010_jpg.rf.c118475abb38fac1be2a3d3f9e8fd8ed.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,4,4
bigdata_bored_engaged_aksan_50_1773299657617_010_jpg.rf.c118475abb38fac1be2a3d3f9e8fd8ed.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,5,6
bigdata_bored_engaged_aksan_50_1773299657617_010_jpg.rf.c118475abb38fac1be2a3d3f9e8fd8ed.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,4
bigdata_bored_engaged_aksan_50_1773299657617_011_jpg.rf.e67df58d8fbf15c5e32b2646f677f763.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,3,6
bigdata_bored_engaged_aksan_50_1773299657617_011_jpg.rf.e67df58d8fbf15c5e32b2646f677f763.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,4,6
bigdata_bored_engaged_aksan_50_1773299657617_011_jpg.rf.e67df58d8fbf15c5e32b2646f677f763.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,5,6
bigdata_bored_engaged_aksan_50_1773299657617_012_jpg.rf.be163418b1707bb5fb12b8a0918edf73.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,4,6
bigdata_bored_engaged_aksan_50_1773299657617_012_jpg.rf.be163418b1707bb5fb12b8a0918edf73.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,1,6
bigdata_bored_engaged_aksan_50_1773299657617_012_jpg.rf.be163418b1707bb5fb12b8a0918edf73.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,2,6
bigdata_bored_engaged_aksan_50_1773299657617_012_jpg.rf.be163418b1707bb5fb12b8a0918edf73.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,3,6
bigdata_bored_engaged_aksan_50_1773299657618_013_jpg.rf.98458d259287e231fe9a20b33114ce0a.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,3,0
bigdata_bored_engaged_aksan_50_1773299657618_013_jpg.rf.98458d259287e231fe9a20b33114ce0a.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,0,2
bigdata_bored_engaged_aksan_50_1773299657618_013_jpg.rf.98458d259287e231fe9a20b33114ce0a.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,1,2
bigdata_bored_engaged_aksan_50_1773299657618_013_jpg.rf.98458d259287e231fe9a20b33114ce0a.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299657618_013_jpg.rf.98458d259287e231fe9a20b33114ce0a.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299657618_014_jpg.rf.5e835fdcc120e663ad22fd9bb0344739.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,3,0
bigdata_bored_engaged_aksan_50_1773299657618_014_jpg.rf.5e835fdcc120e663ad22fd9bb0344739.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,0,2
bigdata_bored_engaged_aksan_50_1773299657618_014_jpg.rf.5e835fdcc120e663ad22fd9bb0344739.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,1,2
bigdata_bored_engaged_aksan_50_1773299657618_014_jpg.rf.5e835fdcc120e663ad22fd9bb0344739.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299657618_014_jpg.rf.5e835fdcc120e663ad22fd9bb0344739.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299658160_016_jpg.rf.ea32d34acdc3414abe5f655d5d0b4edc.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299658160_016_jpg.rf.ea32d34acdc3414abe5f655d5d0b4edc.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299658160_016_jpg.rf.ea32d34acdc3414abe5f655d5d0b4edc.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,1,0
bigdata_bored_engaged_aksan_50_1773299658160_016_jpg.rf.ea32d34acdc3414abe5f655d5d0b4edc.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299658160_016_jpg.rf.ea32d34acdc3414abe5f655d5d0b4edc.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,2,0
bigdata_bored_engaged_aksan_50_1773299658160_018_jpg.rf.013dc48e1e6d5343f0ca2c30d29aa6e4.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299658160_018_jpg.rf.013dc48e1e6d5343f0ca2c30d29aa6e4.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299658160_018_jpg.rf.013dc48e1e6d5343f0ca2c30d29aa6e4.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,1,2
bigdata_bored_engaged_aksan_50_1773299658160_018_jpg.rf.013dc48e1e6d5343f0ca2c30d29aa6e4.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299658160_018_jpg.rf.013dc48e1e6d5343f0ca2c30d29aa6e4.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299658160_019_jpg.rf.d4414c866dd79f55240d54800525bd53.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299658160_019_jpg.rf.d4414c866dd79f55240d54800525bd53.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299658160_019_jpg.rf.d4414c866dd79f55240d54800525bd53.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,1,2
bigdata_bored_engaged_aksan_50_1773299658160_019_jpg.rf.d4414c866dd79f55240d54800525bd53.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,0,0
bigdata_bored_engaged_aksan_50_1773299658160_019_jpg.rf.d4414c866dd79f55240d54800525bd53.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299658704_020_jpg.rf.d5a2de0c6e5ee34eeb0ab564ed003aa6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,2,2
bigdata_bored_engaged_aksan_50_1773299658704_020_jpg.rf.d5a2de0c6e5ee34eeb0ab564ed003aa6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,1,2
bigdata_bored_engaged_aksan_50_1773299658704_020_jpg.rf.d5a2de0c6e5ee34eeb0ab564ed003aa6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,0,2
bigdata_bored_engaged_aksan_50_1773299658704_020_jpg.rf.d5a2de0c6e5ee34eeb0ab564ed003aa6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,1,0
bigdata_bored_engaged_aksan_50_1773299658704_020_jpg.rf.d5a2de0c6e5ee34eeb0ab564ed003aa6.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,3,2
bigdata_bored_engaged_aksan_50_1773299658704_023_jpg.rf.6b38a5e39cc51e24568bf7f5290baf80.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299656187_003_jpg.rf.92207d86703dfebc8703f74c5907553d.jpg,test,bored,5,2
bigdata_bored_engaged_aksan_50_1773299658704_023_jpg.rf.6b38a5e39cc51e24568bf7f5290baf80.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_015_jpg.rf.624296902ef02a4f999acc966c303d98.jpg,test,bored,2,0
bigdata_bored_engaged_aksan_50_1773299658704_023_jpg.rf.6b38a5e39cc51e24568bf7f5290baf80.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658160_017_jpg.rf.6749973df3d7d41f4fdfa23cb462df9b.jpg,test,bored,3,0
bigdata_bored_engaged_aksan_50_1773299658704_023_jpg.rf.6b38a5e39cc51e24568bf7f5290baf80.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_021_jpg.rf.cc123dd299fe6df4290aa92518c12178.jpg,test,bored,4,2
bigdata_bored_engaged_aksan_50_1773299658704_023_jpg.rf.6b38a5e39cc51e24568bf7f5290baf80.jpg,train,bored,bigdata_bored_engaged_aksan_50_1773299658704_022_jpg.rf.d74a001f244a6d7adc6f8cadc2ae3268.jpg,test,bored,0,0
bigdata_bored_engaged_ansyah_08_1774442989963_001_jpg.rf.c61611505b9bd1f85787e3166afad911.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,1,0
bigdata_bored_engaged_ansyah_08_1774442989963_002_jpg.rf.853b0334cb4876973c88421055972b4e.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,1,0
bigdata_bored_engaged_ansyah_08_1774442989963_003_jpg.rf.237ef4186f4ac8f0613f3c714b47d1bf.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,2,0
bigdata_bored_engaged_ansyah_08_1774442989963_004_jpg.rf.989891dd7b734a2949a789aa8ce898b2.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,2,0
bigdata_bored_engaged_ansyah_08_1774442990994_005_jpg.rf.491c06ab68a9b4aaae833d1ed88cb374.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,0
bigdata_bored_engaged_ansyah_08_1774442990994_008_jpg.rf.dab7819dd89f1b03710fe3b7f06251aa.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442990994_009_jpg.rf.b1456769968ad3f7a79b105cc7ad426f.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442991608_010_jpg.rf.6f4052ccc68bea9ea6ff55505b53a548.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,3,2
bigdata_bored_engaged_ansyah_08_1774442991608_012_jpg.rf.267823147e69e7bc005fe1eab622c546.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442991608_013_jpg.rf.719f5586536602db15172c3fc4da63ad.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442991608_014_jpg.rf.ddf3a360822d80c5866ac3aaa07c5c53.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,5,2
bigdata_bored_engaged_ansyah_08_1774442992290_015_jpg.rf.3ba757d0178854101260f4d357afaf23.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442992290_016_jpg.rf.06167b60e93613997cd41cb250493060.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,5,2
bigdata_bored_engaged_ansyah_08_1774442992290_017_jpg.rf.89fa4455b9eccb0136b2b2060cdcdbb4.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,3,2
bigdata_bored_engaged_ansyah_08_1774442992290_018_jpg.rf.48b5808cdf17d1f2cc0a289b468e3d10.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,4,2
bigdata_bored_engaged_ansyah_08_1774442992290_019_jpg.rf.2781e7163fd436f9c6e0ae277e131b89.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,3,2
bigdata_bored_engaged_ansyah_08_1774442992774_020_jpg.rf.06cecb7bec37d72145d8c581bc96023b.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,5,2
bigdata_bored_engaged_ansyah_08_1774442992774_021_jpg.rf.3932ee4d2493a70d7c774f83efceed33.jpg,train,bored,bigdata_bored_engaged_ansyah_08_1774442989962_000_jpg.rf.0236f0c9f27488f710ab169102bcd926.jpg,test,bored,5,2
bigdata_bored_engaged_ardiansyah_26_1774441955582_000_jpg.rf.61aac073a65034d2ada9c37dec642107.jpg,train,bored,bigdata_bored_engaged_ardiansyah_26_1774441956742_008_jpg.rf.48f1c02f99e5a47fd205de22a3ede725.jpg,test,bored,4,2
