duplicate_group_id,sha256,subject_id,new_filename,original_filename,original_subset,class_name,duplicate_count_in_group
DUP_009,2c399bf11721f17fb79ddeae53ee5e6b1ecfc9c01a40a8b99e8d394103f62480,S01,S01_engaged_0057.jpg,engaged_1853.jpg,train,engaged,2
DUP_010,fba4082eeb894c47300f60963bcbeb2d083ba2640cf7ce811aa7ac22edae271c,S01,S01_engaged_0062.jpg,engaged_1866.jpg,train,engaged,2
DUP_010,fba4082eeb894c47300f60963bcbeb2d083ba2640cf7ce811aa7ac22edae271c,S01,S01_engaged_0063.jpg,engaged_1867.jpg,val,engaged,2
DUP_011,f064b4b39f89b6f1e39326c59a750cee10775ca7026187508faf4e1f8905fc80,S01,S01_engaged_0069.jpg,engaged_1924.jpg,train,engaged,2
DUP_011,f064b4b39f89b6f1e39326c59a750cee10775ca7026187508faf4e1f8905fc80,S01,S01_engaged_0070.jpg,engaged_1925.jpg,test,engaged,2
DUP_012,7d0ffcc998b224adec024d594732b9471ca6398a23552903234d9dbf6e63cada,S01,S01_engaged_0076.jpg,engaged_1982.jpg,test,engaged,2
DUP_012,7d0ffcc998b224adec024d594732b9471ca6398a23552903234d9dbf6e63cada,S01,S01_engaged_0077.jpg,engaged_1983.jpg,train,engaged,2
DUP_013,1a16dc3303e2c42b3f350e6b95c5538e7a78a5b454ade1ddb33389dfcad94810,S01,S01_engaged_0081.jpg,engaged_2045.jpg,val,engaged,2
DUP_013,1a16dc3303e2c42b3f350e6b95c5538e7a78a5b454ade1ddb33389dfcad94810,S01,S01_engaged_0082.jpg,engaged_2046.jpg,train,engaged,2
DUP_014,9132caf34769d276147be32f14196437def0dde83cea1656f9ddeeadabd81593,S01,S01_engaged_0083.jpg,engaged_2048.jpg,test,engaged,2
DUP_014,9132caf34769d276147be32f14196437def0dde83cea1656f9ddeeadabd81593,S01,S01_engaged_0084.jpg,engaged_2049.jpg,train,engaged,2
DUP_015,8b02601b3fa578f75f3334c38c9b2f70220686c3157e910ecfb38ca116996060,S01,S01_engaged_0090.jpg,engaged_2075.jpg,train,engaged,2
DUP_015,8b02601b3fa578f75f3334c38c9b2f70220686c3157e910ecfb38ca116996060,S01,S01_engaged_0091.jpg,engaged_2076.jpg,train,engaged,2
DUP_016,0bf0e4bae0c4b99bc07a6fc68ad91f9a9af2b0736769336a66c14da0616f19c5,S01,S01_engaged_0092.jpg,engaged_2079.jpg,val,engaged,2
DUP_016,0bf0e4bae0c4b99bc07a6fc68ad91f9a9af2b0736769336a66c14da0616f19c5,S01,S01_engaged_0093.jpg,engaged_2080.jpg,val,engaged,2
DUP_017,44898b604f103e436b65b11a9bebe285ac19d26f3d431e37db9349cb34883a9c,S01,S01_engaged_0099.jpg,engaged_2097.jpg,train,engaged,2
DUP_017,44898b604f103e436b65b11a9bebe285ac19d26f3d431e37db9349cb34883a9c,S01,S01_engaged_0100.jpg,engaged_2098.jpg,train,engaged,2
DUP_018,cd63c82ff2ea7d8ab44afa00760700c064fce0080bf883da9397bb20fd1f79a0,S01,S01_engaged_0103.jpg,engaged_2106.jpg,test,engaged,2
DUP_018,cd63c82ff2ea7d8ab44afa00760700c064fce0080bf883da9397bb20fd1f79a0,S01,S01_engaged_0104.jpg,engaged_2107.jpg,train,engaged,2
DUP_019,296883ed824073481b2d757b5d91e1718c84d011d5d12d1a694d5af81565e354,S01,S01_engaged_0108.jpg,engaged_2118.jpg,train,engaged,2
DUP_019,296883ed824073481b2d757b5d91e1718c84d011d5d12d1a694d5af81565e354,S01,S01_engaged_0109.jpg,engaged_2119.jpg,train,engaged,2
DUP_020,065992ea5e86d913485a96f2745c5d91f76f22f93e8dd4aba6daa9aa5cc1846c,S01,S01_engaged_0115.jpg,engaged_2125.jpg,test,engaged,2
DUP_020,065992ea5e86d913485a96f2745c5d91f76f22f93e8dd4aba6daa9aa5cc1846c,S01,S01_engaged_0116.jpg,engaged_2126.jpg,train,engaged,2
DUP_021,312b8bf86f73d119777a2dc89b847130775bf43719c5c29bc584d2263c5bf41b,S01,S01_engaged_0121.jpg,engaged_2145.jpg,train,engaged,2
DUP_021,312b8bf86f73d119777a2dc89b847130775bf43719c5c29bc584d2263c5bf41b,S01,S01_engaged_0122.jpg,engaged_2146.jpg,train,engaged,2
DUP_022,e54b71d1c8630c8af48b5d4a01f7c55ffc5c342d53d28f646f0173e98910b7af,S01,S01_engaged_0124.jpg,engaged_2149.jpg,train,engaged,2
DUP_022,e54b71d1c8630c8af48b5d4a01f7c55ffc5c342d53d28f646f0173e98910b7af,S01,S01_engaged_0125.jpg,engaged_2150.jpg,train,engaged,2
DUP_023,4377ef1353ecde6c6372eb23b908c91373a0f90269039f7ede58fed7b4bab69a,S01,S01_engaged_0128.jpg,engaged_2157.jpg,train,engaged,2
DUP_023,4377ef1353ecde6c6372eb23b908c91373a0f90269039f7ede58fed7b4bab69a,S01,S01_engaged_0129.jpg,engaged_2158.jpg,train,engaged,2
DUP_024,c378f90c36d4291b46502094823fb5afd9d19583ed6753525d2e7cfd03127fc5,S01,S01_engaged_0134.jpg,engaged_2164.jpg,train,engaged,2
DUP_024,c378f90c36d4291b46502094823fb5afd9d19583ed6753525d2e7cfd03127fc5,S01,S01_engaged_0135.jpg,engaged_2165.jpg,train,engaged,2
DUP_025,1ec9661168b74f623c7b539d20bb9bbf6086289ba325ea559af7e58b11be5448,S01,S01_engaged_0140.jpg,engaged_2173.jpg,train,engaged,2
DUP_025,1ec9661168b74f623c7b539d20bb9bbf6086289ba325ea559af7e58b11be5448,S01,S01_engaged_0141.jpg,engaged_2174.jpg,train,engaged,2
DUP_026,3f18291ff29562a90a07f3c5b70cec25f878f79add17e43bab102e5d0a1ae1a4,S01,S01_engaged_0144.jpg,engaged_2181.jpg,test,engaged,2
DUP_026,3f18291ff29562a90a07f3c5b70cec25f878f79add17e43bab102e5d0a1ae1a4,S01,S01_engaged_0145.jpg,engaged_2182.jpg,train,engaged,2
DUP_027,77d671c4bf5749369bb2a9d82a46fd53562bf0edc2d4d4668c7a1a48e1a3bf01,S01,S01_engaged_0150.jpg,engaged_2188.jpg,train,engaged,2
DUP_027,77d671c4bf5749369bb2a9d82a46fd53562bf0edc2d4d4668c7a1a48e1a3bf01,S01,S01_engaged_0151.jpg,engaged_2189.jpg,train,engaged,2
DUP_028,31631249a23390de033f877aa184a87e0ca340416bddee72bd435b5f1a5d75ac,S01,S01_engaged_0153.jpg,engaged_2191.jpg,test,engaged,2
DUP_028,31631249a23390de033f877aa184a87e0ca340416bddee72bd435b5f1a5d75ac,S01,S01_engaged_0154.jpg,engaged_2192.jpg,train,engaged,2
DUP_029,cad88219c65ce18cb8baac1dde5838bce18828d309a32dfce516f5a5003abd3c,S01,S01_engaged_0158.jpg,engaged_2200.jpg,train,engaged,2
DUP_029,cad88219c65ce18cb8baac1dde5838bce18828d309a32dfce516f5a5003abd3c,S01,S01_engaged_0159.jpg,engaged_2201.jpg,train,engaged,2
DUP_030,aaf971952bc7079898ae287fd6de6431167c252480a013b3b0543c17a382b3e4,S01,S01_engaged_0161.jpg,engaged_2203.jpg,test,engaged,2
DUP_030,aaf971952bc7079898ae287fd6de6431167c252480a013b3b0543c17a382b3e4,S01,S01_engaged_0162.jpg,engaged_2204.jpg,train,engaged,2
DUP_031,84a549c2acf9c07c3b432821c0221d2b1c56a4ffe9cf425974443ea22d4f6d19,S01,S01_engaged_0165.jpg,engaged_2212.jpg,train,engaged,2
DUP_031,84a549c2acf9c07c3b432821c0221d2b1c56a4ffe9cf425974443ea22d4f6d19,S01,S01_engaged_0166.jpg,engaged_2213.jpg,val,engaged,2
DUP_032,64904d9be71885dd92d89e4a846707fc5c3fec0e39f3f2fa2596c69138319a92,S01,S01_engaged_0168.jpg,engaged_2215.jpg,train,engaged,2
DUP_032,64904d9be71885dd92d89e4a846707fc5c3fec0e39f3f2fa2596c69138319a92,S01,S01_engaged_0169.jpg,engaged_2216.jpg,test,engaged,2
DUP_033,2a6a870e331720a39dafdb0f33c93433be83724455e1623796d741c50ce68624,S02,S02_engaged_0013.jpg,engaged_458.jpg,train,engaged,2
DUP_033,2a6a870e331720a39dafdb0f33c93433be83724455e1623796d741c50ce68624,S02,S02_engaged_0014.jpg,engaged_459.jpg,train,engaged,2
DUP_034,9123cce35d8f9d1eaeb09b7c58efd26b64198815830d4c9589bacb1ab3ba53c9,S02,S02_engaged_0016.jpg,engaged_462.jpg,train,engaged,2
DUP_034,9123cce35d8f9d1eaeb09b7c58efd26b64198815830d4c9589bacb1ab3ba53c9,S02,S02_engaged_0017.jpg,engaged_463.jpg,train,engaged,2
DUP_035,505295ffe3671f4a3784cde6a4dc7c250c094a22ed1179822407db09e77285b2,S02,S02_engaged_0018.jpg,engaged_464.jpg,train,engaged,2
DUP_035,505295ffe3671f4a3784cde6a4dc7c250c094a22ed1179822407db09e77285b2,S02,S02_engaged_0019.jpg,engaged_465.jpg,test,engaged,2
