group_id,sha256,number_of_images,subject_id,class_id,class_name,filenames,validation_status
DUP_GRP_024,c378f90c36d4291b46502094823fb5afd9d19583ed6753525d2e7cfd03127fc5,2,S01,0,engaged,S01_engaged_0134.jpg; S01_engaged_0135.jpg,safe_to_deduplicate
DUP_GRP_025,1ec9661168b74f623c7b539d20bb9bbf6086289ba325ea559af7e58b11be5448,2,S01,0,engaged,S01_engaged_0140.jpg; S01_engaged_0141.jpg,safe_to_deduplicate
DUP_GRP_026,3f18291ff29562a90a07f3c5b70cec25f878f79add17e43bab102e5d0a1ae1a4,2,S01,0,engaged,S01_engaged_0144.jpg; S01_engaged_0145.jpg,safe_to_deduplicate
DUP_GRP_027,77d671c4bf5749369bb2a9d82a46fd53562bf0edc2d4d4668c7a1a48e1a3bf01,2,S01,0,engaged,S01_engaged_0150.jpg; S01_engaged_0151.jpg,safe_to_deduplicate
DUP_GRP_028,31631249a23390de033f877aa184a87e0ca340416bddee72bd435b5f1a5d75ac,2,S01,0,engaged,S01_engaged_0153.jpg; S01_engaged_0154.jpg,safe_to_deduplicate
DUP_GRP_029,cad88219c65ce18cb8baac1dde5838bce18828d309a32dfce516f5a5003abd3c,2,S01,0,engaged,S01_engaged_0158.jpg; S01_engaged_0159.jpg,safe_to_deduplicate
DUP_GRP_030,aaf971952bc7079898ae287fd6de6431167c252480a013b3b0543c17a382b3e4,2,S01,0,engaged,S01_engaged_0161.jpg; S01_engaged_0162.jpg,safe_to_deduplicate
DUP_GRP_031,84a549c2acf9c07c3b432821c0221d2b1c56a4ffe9cf425974443ea22d4f6d19,2,S01,0,engaged,S01_engaged_0165.jpg; S01_engaged_0166.jpg,safe_to_deduplicate
DUP_GRP_032,64904d9be71885dd92d89e4a846707fc5c3fec0e39f3f2fa2596c69138319a92,2,S01,0,engaged,S01_engaged_0168.jpg; S01_engaged_0169.jpg,safe_to_deduplicate
DUP_GRP_033,2a6a870e331720a39dafdb0f33c93433be83724455e1623796d741c50ce68624,2,S02,0,engaged,S02_engaged_0013.jpg; S02_engaged_0014.jpg,safe_to_deduplicate
DUP_GRP_034,9123cce35d8f9d1eaeb09b7c58efd26b64198815830d4c9589bacb1ab3ba53c9,2,S02,0,engaged,S02_engaged_0016.jpg; S02_engaged_0017.jpg,safe_to_deduplicate
DUP_GRP_035,505295ffe3671f4a3784cde6a4dc7c250c094a22ed1179822407db09e77285b2,2,S02,0,engaged,S02_engaged_0018.jpg; S02_engaged_0019.jpg,safe_to_deduplicate
